Date    New Leads    Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not a Good Time    Site Visit Booked    Not Ready for Site Visit    Not Ready to Proceed w. Job    Rough Figures Sent    Passed Onto Jake    Verbal Confirm.    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    DQ - Out of Service Area    DQ - Price    DQ - Extent of Works    DQ - Wrong Contact / Spam    DQ - Lead Looking for Work
Friday, 7 November 2025    7    9    0    8    8    16    1    1    1    0    1    0    0    0    0    0    0    1    1    0    2    1    0
Monday, 10 November 2025    7    6    0    8    5    13    1    2    3    0    2    0    0    0    0    0    0    1    0    0    3    0    0
Tuesday, 11 November 2025    3    6    0    4    6    10    1    0    1    0    1    0    0    0    0    0    1    0    0    0    1    0    0
Wednesday, 12 November 2025    2    3    0    3    2    5    0    0    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 13 November 2025    4    4    0    7    3    10    2    0    0    0    4    0    0    0    0    0    2    0    1    0    0    0    0
Friday, 14 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 17 November 2025    6    2    0    8    0    8    0    1    0    0    6    0    0    0    0    0    0    0    0    0    1    0    0
Tuesday, 18 November 2025    12    1    6    15    4    19    0    1    0    1    7    0    0    0    3    0    0    0    0    0    2    0    0
Wednesday, 19 November 2025    5    3    2    6    4    10    0    1    1    0    3    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 20 November 2025    3    0    1    2    2    4    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0
Friday, 21 November 2025    2    1    0    2    1    3    1    0    0    0    4    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 24 November 2025    4    0    0    1    3    4    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 25 November 2025    8    5    1    10    4    14    0    2    1    0    7    0    0    0    0    0    0    1    0    0    0    0    0
Wednesday, 26 November 2025    1    1    0    2    0    2    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 27 November 2025    3    1    0    3    1    4    1    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 28 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 1 December 2025    4    3    2    6    3    9    1    0    0    2    4    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 2 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 3 December 2025    4    1    0    4    1    5    0    3    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0
Thursday, 4 December 2025    1    3    0    3    1    4    0    1    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0
Friday, 5 December 2025    1    0    2    3    0    3    1    0    0    0    0    0    0    0    1    0    0    0    0    0    1    0    0
Monday, 8 December 2025    2    1    0    4    0    4    0    2    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 9 December 2025    3    0    1    2    2    4    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0
Wednesday, 10 December 2025    1    6    0    5    2    7    1    0    0    0    3    0    0    0    0    0    0    0    0    0    1    0    0
Thursday, 11 December 2025    3    3    0    4    2    6    0    2    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 12 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 15 December 2025    5    1    1    4    3    7    0    1    2    0    0    0    0    0    0    0    0    0    1    0    1    0    0
Tuesday, 16 December 2025    6    0    0    4    2    6    0    1    0    0    0    0    0    0    0    0    0    0    1    0    3    0    0
Wednesday, 17 December 2025    4    0    0    2    2    4    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 18 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 19 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 22 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 23 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 24 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 25 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 26 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 29 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 5 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 6 January 2026    3    4    0    3    4    7    0    0    2    0    0    0    0    0    0    0    0    0    1    0    1    0    0
Wednesday, 7 January 2026    7    1    0    6    2    8    1    2    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0
Thursday, 8 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 9 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 12 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 13 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 20 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 21 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
